0.00500 -        995 - 0.99500
0.01500 -       1017 - 1.01700
0.02500 -       1071 - 1.07100
0.03500 -        992 - 0.99200
0.04500 -        979 - 0.97900
0.05500 -       1014 - 1.01400
0.06500 -       1010 - 1.01000
0.07500 -       1021 - 1.02100
0.08500 -        983 - 0.98300
0.09500 -        953 - 0.95300
0.10500 -       1000 - 1.00000
0.11500 -        979 - 0.97900
0.12500 -       1013 - 1.01300
0.13500 -        969 - 0.96900
0.14500 -       1004 - 1.00400
0.15500 -        964 - 0.96400
0.16500 -        958 - 0.95800
0.17500 -       1018 - 1.01800
0.18500 -        987 - 0.98700
0.19500 -        979 - 0.97900
0.20500 -        980 - 0.98000
0.21500 -       1010 - 1.01000
0.22500 -        992 - 0.99200
0.23500 -        976 - 0.97600
0.24500 -       1001 - 1.00100
0.25500 -        962 - 0.96200
0.26500 -        926 - 0.92600
0.27500 -       1000 - 1.00000
0.28500 -       1021 - 1.02100
0.29500 -        974 - 0.97400
0.30500 -        955 - 0.95500
0.31500 -        983 - 0.98300
0.32500 -       1019 - 1.01900
0.33500 -       1009 - 1.00900
0.34500 -        979 - 0.97900
0.35500 -        977 - 0.97700
0.36500 -       1023 - 1.02300
0.37500 -        974 - 0.97400
0.38500 -        978 - 0.97800
0.39500 -       1026 - 1.02600
0.40500 -       1008 - 1.00800
0.41500 -        991 - 0.99100
0.42500 -        965 - 0.96500
0.43500 -       1057 - 1.05700
0.44500 -       1015 - 1.01500
0.45500 -       1007 - 1.00700
0.46500 -        955 - 0.95500
0.47500 -       1043 - 1.04300
0.48500 -       1038 - 1.03800
0.49500 -       1021 - 1.02100
0.50500 -        965 - 0.96500
0.51500 -       1007 - 1.00700
0.52500 -       1047 - 1.04700
0.53500 -        986 - 0.98600
0.54500 -        994 - 0.99400
0.55500 -       1053 - 1.05300
0.56500 -       1013 - 1.01300
0.57500 -       1003 - 1.00300
0.58500 -       1004 - 1.00400
0.59500 -        963 - 0.96300
0.60500 -        990 - 0.99000
0.61500 -        971 - 0.97100
0.62500 -        943 - 0.94300
0.63500 -       1059 - 1.05900
0.64500 -       1012 - 1.01200
0.65500 -        975 - 0.97500
0.66500 -       1039 - 1.03900
0.67500 -       1042 - 1.04200
0.68500 -       1017 - 1.01700
0.69500 -       1006 - 1.00600
0.70500 -       1043 - 1.04300
0.71500 -       1017 - 1.01700
0.72500 -       1018 - 1.01800
0.73500 -        970 - 0.97000
0.74500 -       1001 - 1.00100
0.75500 -       1012 - 1.01200
0.76500 -        949 - 0.94900
0.77500 -        973 - 0.97300
0.78500 -       1030 - 1.03000
0.79500 -        970 - 0.97000
0.80500 -        984 - 0.98400
0.81500 -       1039 - 1.03900
0.82500 -       1007 - 1.00700
0.83500 -       1036 - 1.03600
0.84500 -        997 - 0.99700
0.85500 -       1054 - 1.05400
0.86500 -        969 - 0.96900
0.87500 -        974 - 0.97400
0.88500 -        981 - 0.98100
0.89500 -       1032 - 1.03200
0.90500 -       1036 - 1.03600
0.91500 -       1011 - 1.01100
0.92500 -        967 - 0.96700
0.93500 -        997 - 0.99700
0.94500 -        992 - 0.99200
0.95500 -       1007 - 1.00700
0.96500 -       1010 - 1.01000
0.97500 -       1040 - 1.04000
0.98500 -       1019 - 1.01900
0.99500 -       1005 - 1.00500
